title,text_url
北风网人工智能实录Python常用模块之Numpy标量计算-子沐老师主讲,https://www.toutiao.com/a6512688558669562381/
NumPy 中的数组计算：进阶技巧,https://www.toutiao.com/a6353838820735680769/
北风网人工智能实录Python常用模块之Numpy常用函数-子沐老师主讲,https://www.toutiao.com/a6512689289187295748/
Python 序列切片 反序 zip操作和超好用的enumerate函数 (10),https://www.toutiao.com/a6530916475266400776/
Python数据科学计算库的安装和numpy简单应用,https://www.toutiao.com/a6416853540689445121/
北风网人工智能实录Python常用模块之scipy+Numpy-子沐老师主讲,https://www.toutiao.com/a6512687705044812296/
Python 开启你的机器学习之旅,https://www.toutiao.com/a6530203411046990349/
python机器人算法,https://www.toutiao.com/a6545314565758910980/
Python代码展示Numpy和Scipy的子库的描述信息,https://www.toutiao.com/a6430921916135440641/
机器学习之python计算（三）（numpy函数）（数组）,https://www.toutiao.com/a6525336592767255048/
成都Python培训老师分享， Python常用的数据库有哪些?,https://www.toutiao.com/a6532324831394791940/
使用Python利用IPL数据分析进行机器数据分析,https://www.toutiao.com/a6534481631183372814/
成都Python开发技术学习 到千锋轻松就业,https://www.toutiao.com/a6532695359418794509/
Python如何利用数组进行数据处理,https://www.toutiao.com/a6535747620671848963/
扣丁学堂Java在线视频教程之Numpy手风琴和基础布局,https://www.toutiao.com/a6548190777112003085/
Numpy快速入门教程（二）：数据类型，数组计算，Broadcasting,https://www.toutiao.com/a6491543956713636366/
PyTorch 重大更新，0.4.0 版本支持 Windows 系统,https://www.toutiao.com/a6548240865922384398/
Python的NumPy模块学习要点,https://www.toutiao.com/a6522811257324569092/
利用Python进行数据分析之Numpy简介「浙江优就业」,https://www.toutiao.com/a6470269260441584142/
